feature,final_decision,decision_reason,recommendation,missing_percentage,constant_feature,unique_count,phishing_effect,phishing_effect_category,phishing_p_holm,phishing_significant,source_effect,source_effect_category,source_p_holm,source_significant,high_correlation_flag,four_group_effect
comma_count,retain_phishing,Statistically significant phishing-class difference with non-negligible effect.,retain_phishing_candidate,0.0,False,91,0.2648055,large,9.182741765729395e-47,True,0.0038134999999999,negligible,1.0,False,False,0.1197562608290971
sentence_count,retain_phishing,Statistically significant phishing-class difference with non-negligible effect.,retain_phishing_candidate,0.0,False,161,0.2355487499999999,large,4.169484718944541e-37,True,0.5689297499999999,large,2.2209522936271493e-213,True,False,0.3194550781793076
newline_count,retain_phishing,Statistically significant phishing-class difference with non-negligible effect.,retain_phishing_candidate,0.0,False,234,0.221584,large,8.432479393516945e-38,True,0.998,large,0.0,True,False,0.952398600286874
credential_keyword_count,retain_phishing,Statistically significant phishing-class difference with non-negligible effect.,retain_phishing_candidate,0.0,False,19,0.21675825,large,7.247096419194121e-61,True,0.0061857499999999,negligible,1.0,False,False,0.0809362427654686
uppercase_character_count,retain_phishing,Statistically significant phishing-class difference with non-negligible effect.,retain_phishing_candidate,0.0,False,323,0.200245,large,7.960044151930417e-27,True,0.7114102499999999,large,0.0,True,False,0.413780081562649
trust_keyword_count,retain_phishing,Statistically significant phishing-class difference with non-negligible effect.,retain_phishing_candidate,0.0,False,19,0.16639875,large,4.721644165429753e-24,True,0.2182845,large,5.139469034026084e-41,True,False,0.0774804163181443
question_count,retain_phishing,Statistically significant phishing-class difference with non-negligible effect.,retain_phishing_candidate,0.0,False,30,0.16305275,large,6.715054602342666e-31,True,0.45607675,large,2.5812271847834294e-237,True,False,0.3418080847748675
digit_count,retain_phishing,Statistically significant phishing-class difference with non-negligible effect.,retain_phishing_candidate,0.0,False,257,0.1513675000000001,large,4.197323111808522e-16,True,0.8008917499999999,large,0.0,True,False,0.5331348960864554
fear_keyword_count,retain_phishing,Statistically significant phishing-class difference with non-negligible effect.,retain_phishing_candidate,0.0,False,11,0.1209854999999999,medium,2.2581490740206282e-26,True,0.0042065,negligible,1.0,False,False,0.0288875579571541
email_address_count,retain_phishing,Statistically significant phishing-class difference with non-negligible effect.,retain_phishing_candidate,0.0,False,20,0.103904,medium,6.561376112114952e-11,True,0.4970559999999999,large,2.8223511372991194e-236,True,False,0.284464074933037
urgency_keyword_count,retain_phishing,Statistically significant phishing-class difference with non-negligible effect.,retain_phishing_candidate,0.0,False,15,0.1031969999999999,medium,2.9328879114284667e-09,True,0.09751825,medium,1.2965426577358013e-08,True,False,0.018082341234858
uppercase_ratio,retain_source,Statistically significant human-versus-LLM difference with non-negligible effect.,retain_source_comparison,0.0,False,2521,0.07618225,medium,0.0002414022801503,True,0.79598225,large,0.0,True,False,0.4864685108740199
reward_keyword_count,retain_source,Statistically significant human-versus-LLM difference with non-negligible effect.,retain_source_comparison,0.0,False,16,0.047371,small,0.0068896547833305,True,0.27465125,large,3.504147232046319e-80,True,False,0.1013062160996847
authority_keyword_count,retain_source,Statistically significant human-versus-LLM difference with non-negligible effect.,retain_source_comparison,0.0,False,17,0.02418025,small,0.4911043304508812,False,0.10331225,medium,5.540734328179088e-12,True,False,0.015656771321499
average_sentence_length,retain_source,Statistically significant human-versus-LLM difference with non-negligible effect.,retain_source_comparison,0.0,False,1103,0.021723,small,0.9367048852365604,False,0.43391075,large,1.3521939953344639e-123,True,False,0.1443416033971263
signoff_present,retain_source,Statistically significant human-versus-LLM difference with non-negligible effect.,retain_source_comparison,0.0,False,2,0.0149999999999999,small,0.9769949400499864,False,0.602,large,0.0,True,False,0.3905318370952353
lexical_diversity,retain_source,Statistically significant human-versus-LLM difference with non-negligible effect.,retain_source_comparison,0.0,False,1692,0.014896,small,0.9769949400499864,False,0.56073575,large,7.765067191113809e-206,True,False,0.2360343913591646
average_word_length,retain_source,Statistically significant human-versus-LLM difference with non-negligible effect.,retain_source_comparison,0.0,False,2573,0.00498375,negligible,0.9769949400499864,False,0.2206042499999999,large,1.4555306439924752e-32,True,False,0.051791091427748
exclamation_count,review,Weak univariate evidence; retain only with clear theoretical justification.,retain_group_analysis,0.0,False,32,0.0652025,medium,3.7008640286476246e-05,True,0.0192185,small,0.698485485621207,False,False,0.0299083506482301
currency_symbol_count,review,Weak univariate evidence; retain only with clear theoretical justification.,retain_group_analysis,0.0,False,29,0.0154265,small,0.4911043304508812,False,0.0657369999999999,medium,1.216600744289451e-12,True,False,0.0443552581298412
